vinModel,MacroModel,ModelDesignation
AA,FL Touring,FLH
AB,FL Touring,FLHP
AC,FL Touring,FLH
AD,FL Touring,FLH - Classic
AE,FL Touring,FLT
AF,FL Touring,FLTC
AH,FL Touring,FLHP - Deluxe
AJ,FL Touring,FLH - Heritage
AK,FL Touring,FLHS
AL,FL Touring,FLH - Shrine
DA,FL Touring,"FLT, FLHTP"
DB,FL Touring,FLTC
DC,FL Touring,FLHT
DD,FL Touring,FLHT
DE,FL Touring,FLHTC
DF,FL Touring,FLHTP
DG,FL Touring,FLHTC Shrine
DH,FL Touring,FLTC
DJ,FL Touring,FLHTC
DK,FL Touring,FLTC Shrine
DM,FL Touring,FLTCU - Ultra
DN,FL Touring,FLTCU - Ultra
DP,FL Touring,FLHTC
DS,FL Touring,FLTCU - Ultra Shrine
DT,FL Touring,FLHTCU - Ultra Shrine
FA,FL Touring,"FLHRS, FLHS"
FB,FL Touring,"FLHRI, FLHR"
FC,FL Touring,"FLHTCUI, FLHTCU"
FD,FL Touring,FLHR
FE,FL Touring,FLTCUI
FF,FL Touring,"FLHTCI, FLHTC"
FG,FL Touring,FLHTCUI
FH,FL Touring,FLHPI
FL,FL Touring,"FLHTCUI, FLHTCU"
FM,FL Touring,FLHTPI
FP,FL Touring,FLTR
FR,FL Touring,"FLHRCI, FLHRC"
FS,FL Touring,FLTRI
FT,FL Touring,FLHPEI
FW,FL Touring,FLHR Shrine
KA,FL Touring,FLHX
KB,FL Touring,FLHX
KE,FL Touring,FLHTK
KG,FL Touring,FLTRU
KH,FL Touring,FLTRX
KX,FL Touring,SIDECAR TLE ULTRA
MA,FL Touring,FLHTCUTG - Trike
MB,FL Touring,Trike
PF,FL Touring,FLSTDSE
PG,FL Touring,FLHRSEI2
PR,FL Touring,FLHTCUSE7 - CVO
PY,FL Touring,FLSTSE3 - CVO
PZ,FL Touring,FLHXSE - CVO
MC,FL Touring,FLRT
BA,FX/FL Dyna Glide,FXE
BB,FX/FL Dyna Glide,"FXEF, FXSTDI"
BC,FX/FL Dyna Glide,FXS
BD,FX/FL Dyna Glide,FXB
BE,FX/FL Dyna Glide,FXWG
BF,FX/FL Dyna Glide,FXSB
BG,FX/FL Dyna Glide,FXDG
EA,FX/FL Dyna Glide,FXR
EB,FX/FL Dyna Glide,FXRS
EC,FX/FL Dyna Glide,FXRT
ED,FX/FL Dyna Glide,FXRP - Windshield
EE,FX/FL Dyna Glide,FXRDG
EF,FX/FL Dyna Glide,FXRP - Fairing
EG,FX/FL Dyna Glide,FXRS-SP Sport Edition
EH,FX/FL Dyna Glide,FXRD
EJ,FX/FL Dyna Glide,FXRC
EK,FX/FL Dyna Glide,FXRP - C.H.P.
EL,FX/FL Dyna Glide,FXLR
EM,FX/FL Dyna Glide,FXRS – CON
ES,FX/FL Dyna Glide,FXR
ET,FX/FL Dyna Glide,FXR
EV,FX/FL Dyna Glide,FXR
GA,FX/FL Dyna Glide,FXDB-D Daytona
GB,FX/FL Dyna Glide,FXDB-S Sturgis
GC,FX/FL Dyna Glide,FXDC
GD,FX/FL Dyna Glide,FXDL
GE,FX/FL Dyna Glide,FXDWG
GG,FX/FL Dyna Glide,FXDS-CON
GH,FX/FL Dyna Glide,FXD
GJ,FX/FL Dyna Glide,FXDX
GK,FX/FL Dyna Glide,FXDP
GL,FX/FL Dyna Glide,FXDXT
GM,FX/FL Dyna Glide,FXDI
GN,FX/FL Dyna Glide,FXDL
GP,FX/FL Dyna Glide,FXDWG
GR,FX/FL Dyna Glide,FXDXI
GT,FX/FL Dyna Glide,FXDC
GV,FX/FL Dyna Glide,FXDC
GX,FX/FL Dyna Glide,TL
GY,FX/FL Dyna Glide,FXDF
GZ,FX/FL Dyna Glide,FLD
PB,FX/FL Dyna Glide,FXDWG
PE,FX/FL Dyna Glide,FXDWG3
PS,FX/FL Dyna Glide,FXDSE
PX,FX/FL Dyna Glide,FSDFSE
VA,FX/FL Dyna Glide,FXDBP
BH,FL/FX Softail,FXST
BJ,FL/FX Softail,"FLST, FLSTC"
BK,FL/FX Softail,FXSTC
BL,FL/FX Softail,FXSTS
BM,FL/FX Softail,FLSTF
BN,FL/FX Softail,FLSTN
BP,FL/FX Softail,FXSTSB
BR,FL/FX Softail,FLSTS
BS,FL/FX Softail,FXSTD
BT,FL/FX Softail,FXSTB
BV,FL/FX Softail,FXST
BW,FL/FX Softail,FLSTC
BX,FL/FX Softail,FLSTF
BY,FL/FX Softail,FLSTC
BZ,FL/FX Softail,FXSTSI
JA,FL/FX Softail,FXSTB
JB,FL/FX Softail,FXSTDI
JD,FL/FX Softail,FLSTN
JE,FL/FX Softail,FLST
JF,FL/FX Softail,FLSTI
JG,FL/FX Softail,FLSTF
JH,FL/FX Softail,FLSTC
JJ,FL/FX Softail,FXCW
JK,FL/FX Softail,FXCWC
JL,FL/FX Softail,FXSTC
JM,FL/FX Softail,FLSTSB
JN,FL/FX Softail,FLSTFB
JP,FL/FX Softail,FXS
JR,FL/FX Softail,FLS
PF,FL/FX Softail,FXSTDSE
PH,FL/FX Softail,FXSTDSE
PL,FL/FX Softail,FLSTFSE
PN,FL/FX Softail,FLSTFSE
PT,FL/FX Softail,FXSTSSE
PY,FL/FX Softail,FLSTSE
JT,FL/FX Softail,FLSTFBS
CA,XL Sportster,XLH
CB,XL Sportster,XLS
CC,XL Sportster,XLX
CD,XL Sportster,XR-1000
CE,XL Sportster,XL 883H
CF,XL Sportster,XL 883 Deluxe
CG,XL Sportster,XL 1200C
CH,XL Sportster,XL 1200S
CJ,XL Sportster,XL 883C
CK,XL Sportster,XL 883R
CN,XL Sportster,XL883
CM,XL Sportster,XL883L
CP,XL Sportster,XL883C
CR,XL Sportster,XL883L
CS,XL Sportster,XL883R
CT,XL Sportster,XL1200C
CV,XL Sportster,XL1200R
CW,XL Sportster,XL1200L
CX,XL Sportster,XL1200L
CY,XL Sportster,XL50
CZ,XL Sportster,XL1200N
LA,XL Sportster,XR1200
LC,XL Sportster,XL1200X
LD,XL Sportster,XR1200X
LE,XL Sportster,XL883N
LF,XL Sportster,XL1200V
LH,XL Sportster,XL1200CP
LJ,XL Sportster,XL1200CA
LK,XL Sportster,XL1200CB
HA,V-ROD,VRSCA
HC,V-ROD,VRSCR
HD,V-ROD,VRSCD
HF,V-ROD,VRSCA
HH,V-ROD,VRSCDX
HJ,V-ROD,VRSCX
HP,V-ROD,VRSCF
NA,Street,XG500
NB,Street,XG750
